DATE,ACTUAL,DESV,CONS,
03/10/2010 (Mar 5),1.4,,2.1,
03/03/2010 (Feb 26),4.1,,1,
02/24/2010 (Feb 19),3,,1.8,
02/18/2010 (Feb 12),3.1,,1.5,
02/12/2010 (Feb 5),2.4,,1.4,
02/03/2010 (Jan 29),2.3,,0.4,
01/27/2010 (Jan 22),-3.9,,1.6,
01/21/2010 (Jan 15),-0.4,,2.2,
01/13/2010 (Jan 8),3.7,,1.4,
01/06/2010 (Jan 1),1.3,,,
12/30/2009 (Dec 25),-1.5,,-1.7,
12/23/2009 (Dec 18),-4.9,,-1.8,
12/16/2009 (Dec 11),-3.7,,-2,
12/09/2009 (Dec 4),-3.8,,0.8,
12/02/2009 (Nov 27),2.1,,-0.5,
11/25/2009 (Nov 20),1,,1.8,
11/18/2009 (Nov 13),-0.9,,0.8,
11/12/2009 (Nov 6),1.8,,,
11/04/2009 (Oct 30),-4,,1.7,
10/28/2009 (Oct 23),0.8,,,
10/21/2009 (Oct 16),1.3,,0.9,
10/15/2009 (Oct 9),0.4,,1,
10/07/2009 (Oct 2),-1,,2,
09/30/2009 (Sep 25),2.8,,0.5,
09/23/2009 (Sep 18),2.8,,-1.4,
09/16/2009 (Sep 11),-4.7,,-2.6,
09/02/2009,-0.4,,-0.8,
08/26/2009,0.2,,-1.5,
08/19/2009,-8.4,,1.1,
08/12/2009,2.5,,0.9,
08/05/2009,1.7,,,
07/29/2009,5.1,,,
07/22/2009,-1.8,,,
07/15/2009,-2.8,,-1.9,
07/08/2009,-2.9,,-2.9,
07/01/2009,-3.7,,-1.6,
06/24/2009,-3.8,,,
06/17/2009,-3.9,,-1.8,
06/10/2009,-4.4,,0.1,
06/03/2009,2.9,,-1.6,
05/28/2009,-5.4,,0,
05/20/2009,-2.1,,-1.3,
05/13/2009,-4.7,,1.1,
05/06/2009,0.6,,2.6,
04/29/2009,4.1,,1.8,
04/22/2009,3.9,,2.3,
04/15/2009,5.6,,2,
03/25/2009,3.3,,1.2,
03/18/2009,2,,1.2,
03/11/2009,0.7,,0.1,
03/04/2009,-0.7,,,
02/25/2009,0.7,,,
02/04/2009 (Jan 30),7.2,,,
01/28/2009 (Jan 23),6.2,,2.8,
01/22/2009 (Jan 17),6.1,,1.1,
01/14/2009 (Jan 9),1.2,,,
01/07/2009 (Jan 3),6.7,,,
12/31/2008 (Dec 26),0.5,,-1.4,
12/24/2008 (Dec 19),-3.1,,,
12/17/2008 (Dec 12),0.5,,,
12/10/2008 (Dec 5),0.4,,-0.2,
12/03/2008 (Nov 28),-0.4,,,
11/26/2008 (Nov 21),7.3,,,
11/19/2008 (Nov 15),1.6,,,
11/13/2008 (Nov 7),0,,,
11/05/2008 (Oct 31),0,,,
10/29/2008 (Oct 24),0.5,,,
10/22/2008 (Oct 17),3.2,,,
10/08/2008 (Oct 10),8.1,,2,
10/01/2008 (Sep 27),4.3,,,
09/24/2008 (Sep 19),-1.5,,,
09/17/2008 (Sep 13),-6.3,,,
09/10/2008 (Sep 6),-5.9,,,
09/04/2008 (Aug 29),-1.9,,,
08/27/2008 (Aug 22),-0.1,,,
08/20/2008 (Aug 16),9.4,,,
08/13/2008 (Aug 9),-0.4,,,
08/06/2008 (Aug 2),1.7,,0.25,
07/30/2008 (Jul 26),-0.1,,-1.3,
07/23/2008 (Jul 19),-1.6,,,
07/16/2008 (Jul 12),3,,-1.2,
07/09/2008 (Jul 5),-5.9,,-2.1,
07/02/2008 (Jun 28),-2,,0.75,
06/25/2008 (Jun 21),0.8,,-1.1,
06/18/2008 (Jun 13),-1.2,,-1.5,
06/11/2008 (Jun 6),-4.6,,,
06/04/2008 (May 30),-4.8,,0.2,
05/29/2008 (May 23),-8.8,,-0.6,
05/21/2008 (May 17),-5.3,,,
05/14/2008 (May 10),0.2,,,
05/07/2008 (May 3),5.7,,1.8,
04/30/2008 (Oct 24),3.8,,,
04/23/2008 (Apr 19),2.4,,,
04/16/2008 (Apr 12),-2.3,,,
04/09/2008 (Apr 5),-3.2,,,
04/02/2008,7.3,,,
03/26/2008,0,,,
03/19/2008,0.2,,,
03/12/2008,6.2,,,
02/27/2008,-3.1,,,
02/21/2008,4.2,,,
02/06/2008,7,,,
01/24/2008,3.6,,,
01/16/2008,4.3,,,
11/16/2007,-6.8,,,
10/17/2007,1.8,,,
10/10/2007,-1.7,,,
10/03/2007,1.2,,,
09/12/2007 (Sep 7),1.8,,,
08/29/2007 (Aug 24),-3.9,,,
08/22/2007 (Aug 17),1.9,,,
08/15/2007 (Aug 10),-5.2,,,
08/08/2007 (Aug 3),-4.1,,,
08/01/2007 (Jul 27),-6.5,,,
07/25/2007 (Jul 20),-1.1,,,
07/11/2007 (Jul 6),-0.5,,,
06/20/2007 (Jun 15),3.1,,,
05/31/2007 (May 25),-2,,,
05/23/2007 (May 18),2,,,
05/02/2007 (Apr 27),1,,,
04/25/2007 (Apr 20),2.1,,,
04/11/2007 (Apr 6),-1,,,
03/28/2007 (Mar 23),-0.9,,,
