DATE,ACTUAL,DESV,CONS,
02/28/2018 (Feb 23),2.483,0.12,2.077,
02/22/2018 (Feb 16),-1.616,-1.01,1.795,
02/14/2018 (Feb 9),1.841,-0.29,2.825,
02/07/2018 (Feb 2),1.895,-0.37,3.189,
01/31/2018 (Jan 26),6.776,5.07,0.126,
01/24/2018 (Jan 19),-1.071,0.53,-1.6,
01/18/2018 (Jan 12),-6.861,-4.25,-3.588,
01/10/2018 (Jan 5),-4.948,-1.42,-3.89,
01/04/2018 (Dec 29),-7.419,-2.96,-5.182,
12/28/2017 (Dec 22),-4.609,-0.61,-3.97,
12/20/2017 (Dec 15),-6.495,-1.23,-3.769,
12/13/2017 (Dec 8),-5.117,-0.47,-3.78,
12/06/2017 (Dec 1),-5.61,-0.92,-3.404,
11/29/2017 (Nov 24),-3.429,-0.56,-2.301,
11/22/2017 (Nov 17),-1.855,0.13,-2.167,
11/15/2017 (Nov 10),1.854,1.61,-2.2,
11/08/2017 (Nov 3),2.237,1.74,-2.8,
11/01/2017 (Oct 27),-2.435,0.05,-2.575,
10/25/2017 (Oct 20),0.856,1.44,-2.578,
10/18/2017 (Oct 13),-5.731,-0.48,-4.242,
10/12/2017 (Oct 6),-2.747,-0.24,-1.991,
10/04/2017 (Sep 29),-6.023,-2.08,-0.467,
09/27/2017 (Sep 22),-1.846,-2.04,2.296,
09/20/2017 (Sep 11),4.591,0.36,3.493,
09/13/2017 (Sep 4),5.888,1.08,3.238,
09/07/2017 (Aug 28),4.58,0.21,4.022,
08/30/2017 (Aug 25),-5.392,-1.24,-1.908,
08/23/2017 (Aug 18),-3.327,0.05,-3.45,
08/16/2017 (Aug 11),-8.945,-2.53,-3.058,
08/09/2017 (Aug 4),-6.451,-1.58,-2.72,
08/02/2017 (Jul 28),-1.527,0.51,-2.957,
07/26/2017 (Jul 21),-7.208,-1.72,-2.629,
07/19/2017 (Jul 14),-4.727,-0.53,-3.214,
07/12/2017 (Jul 7),-7.564,-1.33,-2.85,
07/06/2017 (Jun 30),-6.299,-1.14,-2.283,
06/28/2017 (Jun 23),0.118,0.74,-2.585,
06/21/2017 (Jun 16),-2.451,-0.1,-2.106,
06/14/2017 (Jun 9),-1.661,0.28,-2.739,
06/07/2017 (Jun 2),3.295,3.24,-3.464,
06/01/2017 (May 26),-6.428,-2.22,-2.517,
05/24/2017 (May 19),-4.432,-1.13,-2.419,
05/17/2017 (May 12),-1.753,0.35,-2.36,
05/10/2017 (May 5),-5.247,-2,-1.786,
05/03/2017 (Apr 28),-0.93,0.77,-2.16,
04/26/2017 (Apr 21),-3.641,-1.21,-1.661,
04/19/2017 (Apr 14),-1.034,0.19,-1.47,
04/12/2017 (Apr 7),-2.166,-0.69,0.087,
04/05/2017 (Mar 31),1.566,0.61,-0.53,
03/29/2017 (Mar 24),0.867,-0.08,1.183,
03/22/2017 (Mar 17),4.954,0.53,2.801,
03/15/2017 (Mar 10),-0.237,-0.82,3.2,
03/08/2017 (Mar 3),8.209,2.78,1.66,
03/01/2017 (Feb 24),1.501,-0.7,3.079,
02/23/2017 (Feb 17),0.564,-2.35,3.475,
02/15/2017 (Feb 10),9.527,,,
02/08/2017 (Feb 3),13.83,,,
02/01/2017 (Jan 27),6.466,0.83,3.84,
01/25/2017 (Jan 20),2.84,0.01,2.815,
01/19/2017 (Jan 13),2.347,0.75,-0.342,
01/11/2017 (Jan 6),4.097,0.84,1.162,
01/05/2017 (Dec 30),-7.051,-2.09,-1.715,
12/29/2016 (Dec 23),0.614,1.07,-2.06,
12/21/2016 (Dec 16),2.256,2.25,-2.515,
12/14/2016 (Dec 9),-2.563,-0.45,-1.584,
12/07/2016 (Dec 2),-2.389,-0.24,-1.032,
11/30/2016 (Nov 25),-0.884,-0.27,0.636,
11/23/2016 (Nov 18),-1.255,-0.27,0.671,
11/16/2016 (Nov 11),5.274,0.53,1.48,
11/09/2016 (Nov 4),2.432,0.14,1.33,
11/02/2016 (Oct 28),14.42,3.21,1.013,
10/26/2016 (Oct 21),-0.553,-0.47,1.699,
10/19/2016 (Oct 14),-5.2,-1.75,2.705,
10/13/2016 (Oct 7),4.9,1.09,0.65,
10/05/2016 (Sep 30),-2.976,-1.05,2.687,
09/28/2016 (Sep 23),-1.882,-0.74,2.995,
09/21/2016 (Sep 16),-6.2,-1.54,3.35,
09/14/2016 (Sep 9),-0.559,-0.63,3.8,
09/08/2016 (Sep 2),-14.513,-5.88,0.225,
08/31/2016 (Aug 26),2.276,0.48,0.921,
08/24/2016 (Aug 19),2.501,1.06,-0.455,
08/17/2016 (Aug 12),-2.508,-1.7,0.522,
08/10/2016 (Aug 5),1.055,,,
08/03/2016 (Jul 29),1.413,1.75,-1.833,
07/27/2016 (Jul 22),1.671,4.7,-2.257,
07/20/2016 (Jul 15),-2.342,-0.24,-2.1,
07/13/2016 (Jul 8),-2.546,0.39,-2.95,
07/07/2016 (Jul 1),-2.223,0.02,-2.25,
06/29/2016 (Jun 24),-4.053,-1.46,-2.375,
06/22/2016 (Jun 17),-0.917,0.6,-1.671,
06/15/2016 (Jun 10),-0.933,0.69,-2.26,
06/08/2016 (Jun 3),-3.226,-0.22,-2.74,
06/02/2016 (May 27),-1.366,0.5,-2.49,
05/25/2016 (May 20),-4.226,-0.75,-2.5,
05/18/2016 (May 13),1.31,,,
05/11/2016 (May 6),-3.41,-4.97,0.714,
05/04/2016 (Apr 29),2.784,4.89,1.444,
04/27/2016 (Apr 22),1.999,,,
04/20/2016 (Apr 15),2.08,-0.09,2.4,
04/13/2016 (Apr 8),6.634,,,
04/06/2016 (Apr 1),-4.937,,,
03/30/2016 (Mar 25),2.299,-0.24,3.167,
03/23/2016 (Mar 18),9.357,1.93,3.09,
03/16/2016 (Mar 11),1.317,-0.54,3.328,
03/09/2016 (Mar 4),3.88,-0.03,4,
03/02/2016 (Feb 26),10.374,2.04,3.5,
02/24/2016 (Feb 19),3.502,0.05,3.331,
02/18/2016 (Feb 12),2.147,-0.51,3.92,
02/10/2016 (Feb 5),-0.754,-1.25,3.65,
02/03/2016 (Jan 29),7.792,0.78,4.76,
01/27/2016 (Jan 22),8.383,1.2,3.277,
01/21/2016 (Jan 15),3.979,0.22,2.811,
01/13/2016 (Jan 8),0.234,-0.41,2.504,
01/06/2016 (Jan 1),-5.085,-0.88,-0.5,
12/30/2015 (Dec 25),2.629,0.99,-2.5,
12/23/2015 (Dec 18),-5.877,-1.78,1.083,
12/16/2015 (Dec 11),4.801,2.45,-1.85,
12/09/2015 (Dec 4),-3.568,-2.24,0.252,
12/02/2015 (Nov 27),1.177,0.98,-0.471,
11/25/2015 (Nov 20),0.961,,,
11/18/2015 (Nov 13),0.252,-0.67,1.6,
11/12/2015 (Nov 6),4.224,1.56,1.016,
11/04/2015 (Oct 23),2.847,0.03,2.787,
10/28/2015 (Oct 23),3.376,-0.02,3.417,
10/21/2015 (Oct 16),8.028,1.57,3.867,
10/15/2015 (Oct 9),7.562,2.63,2.848,
10/07/2015 (Oct 2),3.073,0.32,2.2,
09/30/2015 (Sep 25),3.955,,,
09/23/2015 (Sep 18),-1.925,-0.34,-0.533,
09/16/2015 (Sep 11),-2.104,-0.53,0,
09/10/2015 (Sep 4),2.57,0.59,0.167,
